Level,Date and Time,Source,Event ID,Task Category
Information,05/08/2018 10:20:35,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting connected standby 

Reason: Lid."
Warning,05/08/2018 10:20:35,Win32k,701,None,Power Manager has not requested suppresion of all input (INPUT_SUPPRESS_REQUEST=0)
Warning,05/08/2018 10:20:35,Win32k,701,None,Power Manager has not requested suppresion of all input (INPUT_SUPPRESS_REQUEST=0)
Information,05/08/2018 10:20:29,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering connected standby 

Reason: AC/DC Display Burst Suppressed."
Information,05/08/2018 10:20:29,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting connected standby 

Reason: AC/DC Display Burst Suppressed."
Warning,05/08/2018 10:20:29,Win32k,700,None,Power Manager has requested suppresion of all input (INPUT_SUPPRESS_REQUEST=1)
Warning,05/08/2018 10:20:29,Win32k,700,None,Power Manager has requested suppresion of all input (INPUT_SUPPRESS_REQUEST=1)
Information,05/08/2018 10:20:29,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Error,05/08/2018 06:00:33,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,05/08/2018 06:00:31,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering connected standby 

Reason: Lid."
Error,05/08/2018 03:40:03,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,05/08/2018 02:39:35,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\Volume{491c9540-8001-4b71-b049-7c393bb1626e}\System Volume Information\SPP\SppCbsHiveStore\{cd42efe1-f6f1-427c-b004-033192c625a4}{A912AA28-EA99-495E-B5E5-9B01D18733E3} was cleared updating 15899 keys and creating 2707 modified pages.
Information,05/08/2018 02:39:24,Microsoft-Windows-Kernel-General,11,None,"TxR init phase for hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy4\WINDOWS\System32\config\DRIVERS (TM: {85F1B28F-97EF-11E8-BD0D-BC8385D1DE3C}, RM: {85F1B28E-97EF-11E8-BD0D-BC8385D1DE3C}) finished with result=0xC00000A2 (Internal code=7)."
Information,05/08/2018 02:39:24,Microsoft-Windows-Kernel-General,11,None,"TxR init phase for hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy4\WINDOWS\System32\config\SYSTEM (TM: {85F1B28C-97EF-11E8-BD0D-BC8385D1DE3C}, RM: {85F1B28B-97EF-11E8-BD0D-BC8385D1DE3C}) finished with result=0xC00000A2 (Internal code=7)."
Information,05/08/2018 02:11:02,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  MpKsl2dcd9ae1
Service File Name:  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{78CFC604-60B3-4C9B-AE10-44CDAFE23415}\MpKsl2dcd9ae1.sys
Service Type:  kernel mode driver
Service Start Type:  system start
Service Account:  "
Error,05/08/2018 02:10:20,Service Control Manager,7032,None,"The Service Control Manager tried to take a corrective action (Restart the service) after the unexpected termination of the Windows Management Instrumentation service, but this action failed with the following error: 
An instance of the service is already running."
Information,05/08/2018 02:09:14,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2018‎-‎08‎-‎05T00:09:14.127780400Z from ‎2018‎-‎08‎-‎05T00:09:14.127792400Z.

Change Reason: An application or system component changed the time."
Information,05/08/2018 02:09:14,Microsoft-Windows-Time-Service,35,None,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->52.166.120.77:123) with reference id 1299752500. Current local stratum number is 3."
Information,05/08/2018 02:08:59,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->52.166.120.77:123)."
Information,05/08/2018 02:08:58,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Error,05/08/2018 02:08:20,Service Control Manager,7031,None,The Windows Management Instrumentation service terminated unexpectedly. It has done this 1 time(s). The following corrective action will be taken in 120000 milliseconds: Restart the service.
Error,05/08/2018 01:28:14,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user DESKTOP-JRHB8O7\Philipp Wise SID (S-1-5-21-3472773844-1026657542-2222872734-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,05/08/2018 01:27:54,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,05/08/2018 01:27:54,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,05/08/2018 01:27:52,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,05/08/2018 01:27:52,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,05/08/2018 00:30:06,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting connected standby 

Reason: Lid."
Information,05/08/2018 00:30:04,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Error,05/08/2018 00:30:04,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,05/08/2018 00:30:04,Win32k,701,None,Power Manager has not requested suppresion of all input (INPUT_SUPPRESS_REQUEST=0)
Warning,05/08/2018 00:30:04,Win32k,701,None,Power Manager has not requested suppresion of all input (INPUT_SUPPRESS_REQUEST=0)
Warning,04/08/2018 18:45:09,Win32k,700,None,Power Manager has requested suppresion of all input (INPUT_SUPPRESS_REQUEST=1)
Warning,04/08/2018 18:45:09,Win32k,700,None,Power Manager has requested suppresion of all input (INPUT_SUPPRESS_REQUEST=1)
Information,04/08/2018 18:45:09,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering connected standby 

Reason: Idle Timeout."
Information,04/08/2018 18:42:17,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Error,04/08/2018 18:40:08,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,04/08/2018 18:39:40,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,04/08/2018 18:39:36,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting connected standby 

Reason: Input Mouse."
Information,04/08/2018 18:39:34,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information,04/08/2018 18:39:33,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Philipp Wise\AppData\Local\Packages\Microsoft.LockApp_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Error,04/08/2018 18:39:32,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,04/08/2018 18:39:32,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering connected standby 

Reason: Lid."
Information,04/08/2018 17:16:06,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Philipp Wise\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 52 keys and creating 14 modified pages.
Information,04/08/2018 16:10:01,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRDXBKC-XINGAG.XING
Information,04/08/2018 16:10:01,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Definition Update for Windows Defender Antivirus - KB2267602 (Definition 1.273.810.0)
Information,04/08/2018 16:09:56,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Philipp Wise\AppData\Local\Packages\XINGAG.XING_xpfg3f7e9an52\Settings\settings.dat was cleared updating 1 keys and creating 1 modified pages.
Information,04/08/2018 16:09:55,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRDXBKC-XINGAG.XING
Information,04/08/2018 16:09:55,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NBLGGH4LS1F-Microsoft.StorePurchaseApp
Information,04/08/2018 16:09:55,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NBLGGH4LS1F-Microsoft.StorePurchaseApp
Information,04/08/2018 16:09:54,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\XINGAG.XING_3.110.15.0_x86__xpfg3f7e9an52\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,04/08/2018 16:09:53,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Philipp Wise\AppData\Local\Packages\Microsoft.StorePurchaseApp_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 1 keys and creating 1 modified pages.
Information,04/08/2018 16:09:51,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.StorePurchaseApp_11807.1001.1.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,04/08/2018 16:09:44,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,04/08/2018 16:09:44,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,04/08/2018 16:09:44,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Definition Update for Windows Defender Antivirus - KB2267602 (Definition 1.273.810.0)
Information,04/08/2018 16:09:37,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,04/08/2018 16:09:31,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\ServiceProfiles\NetworkService\AppData\Local\Microsoft\Windows\DeliveryOptimization\State\dosvcState.dat was cleared updating 4 keys and creating 1 modified pages.
Error,04/08/2018 16:09:20,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error,04/08/2018 16:08:26,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscBrokerManager
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error,04/08/2018 16:08:26,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscDataProtection
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error,04/08/2018 16:08:09,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error,04/08/2018 16:07:21,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user DESKTOP-JRHB8O7\Philipp Wise SID (S-1-5-21-3472773844-1026657542-2222872734-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,04/08/2018 16:07:17,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 3 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Error,04/08/2018 16:06:59,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user DESKTOP-JRHB8O7\Philipp Wise SID (S-1-5-21-3472773844-1026657542-2222872734-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,04/08/2018 16:06:54,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Philipp Wise\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 14 keys and creating 3 modified pages.
Information,04/08/2018 16:06:53,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information,04/08/2018 16:06:53,Microsoft-Windows-Ntfs,98,None,Volume Local Disk (\Device\HarddiskVolumeShadowCopy4) is healthy.  No action is needed.
Information,04/08/2018 16:06:53,Volsnap,33,None,The oldest shadow copy of volume C: was deleted to keep disk space usage for shadow copies of volume C: below the user defined limit.
Information,04/08/2018 16:06:52,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\System32\SMI\Store\Machine\SCHEMA.DAT was cleared updating 15899 keys and creating 2707 modified pages.
Information,04/08/2018 16:06:49,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Philipp Wise\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 45 keys and creating 10 modified pages.
Error,04/08/2018 16:06:38,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error,04/08/2018 16:06:38,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,04/08/2018 16:06:36,Microsoft-Windows-Winlogon,7001,(1101),User Log-on Notification for Customer Experience Improvement Program
Information,04/08/2018 16:06:32,Microsoft-Windows-TPM-WMI,1025,None,The TPM was successfully provisioned and is now ready for use.
Information,04/08/2018 16:06:30,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information,04/08/2018 16:06:30,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\System32\config\COMPONENTS was cleared updating 109189 keys and creating 13345 modified pages.
Information,04/08/2018 16:06:29,Microsoft-Windows-TPM-WMI,1025,None,The TPM was successfully provisioned and is now ready for use.
Information,04/08/2018 16:06:27,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\SurfaceUsbHubFwUpdateService.exe (process ID:4568) reset policy scheme from {381B4222-F694-41F0-9685-FF5BB260DF2E} to {381B4222-F694-41F0-9685-FF5BB260DF2E}
Information,04/08/2018 16:06:25,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\AppCompat\Programs\Amcache.hve was cleared updating 2884 keys and creating 1071 modified pages.
Information,04/08/2018 16:06:24,TPM,18,None,This event triggers the Trusted Platform Module (TPM) provisioning/status check to run.
Information,04/08/2018 16:06:22,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\SurfaceUsbHubFwUpdateService.exe (process ID:4568) reset policy scheme from {381B4222-F694-41F0-9685-FF5BB260DF2E} to {381B4222-F694-41F0-9685-FF5BB260DF2E}
Information,04/08/2018 16:06:21,Microsoft-Windows-Kernel-Power,520,(218),The brightness on this system is managed by high-precision brightness aware service.
Information,04/08/2018 16:06:20,Microsoft-Windows-WLAN-AutoConfig,4000,None,"WLAN AutoConfig service has successfully started.
"
Information,04/08/2018 16:06:20,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\bbimigrate\BBI was cleared updating 1 keys and creating 1 modified pages.
Information,04/08/2018 16:06:19,Microsoft-Windows-FilterManager,6,None,"File System Filter 'storqosflt' (10.0, ‎2011‎-‎01‎-‎05T19:54:03.000000000Z) has successfully loaded and registered with Filter Manager."
Information,04/08/2018 16:06:19,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2005‎-‎05‎-‎17T04:25:49.000000000Z) has successfully loaded and registered with Filter Manager."
Information,04/08/2018 16:06:19,Microsoft-Windows-FilterManager,1,None,"File System Filter 'CldFlt' (Version 10.0, ‎2005‎-‎05‎-‎17T04:25:49.000000000Z) unloaded successfully."
Information,04/08/2018 16:06:19,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2005‎-‎05‎-‎17T04:25:49.000000000Z) has successfully loaded and registered with Filter Manager."
Information,04/08/2018 16:06:19,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (10.0, ‎2043‎-‎06‎-‎20T21:30:28.000000000Z) has successfully loaded and registered with Filter Manager."
Information,04/08/2018 16:06:19,Microsoft-Windows-FilterManager,6,None,"File System Filter 'wcifs' (10.0, ‎2024‎-‎12‎-‎17T03:40:30.000000000Z) has successfully loaded and registered with Filter Manager."
Information,04/08/2018 16:06:19,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,04/08/2018 16:06:19,Microsoft-Windows-Dhcp-Client,50103,Service State Event,DHCPv4 client registered for shutdown notification
Information,04/08/2018 16:06:19,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,04/08/2018 16:06:19,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,04/08/2018 16:06:19,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,04/08/2018 16:06:19,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\BBI was cleared updating 294 keys and creating 84 modified pages.
Information,04/08/2018 16:06:18,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\ServiceProfiles\NetworkService\NTUSER.DAT was cleared updating 118 keys and creating 22 modified pages.
Information,04/08/2018 16:06:18,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\ServiceProfiles\LocalService\NTUSER.DAT was cleared updating 78 keys and creating 20 modified pages.
Information,04/08/2018 16:06:18,Microsoft-Windows-Directory-Services-SAM,16962,None,"Remote calls to the SAM database are being restricted using the default security descriptor: O:SYG:SYD:(A;;RC;;;BA).
For more information please see http://go.microsoft.com/fwlink/?LinkId=787651."
Information,04/08/2018 16:06:18,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,04/08/2018 16:06:18,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,04/08/2018 16:06:18,Microsoft-Windows-Wininit,14,None,"Credential Guard (LsaIso.exe) configuration: 0x0, 0"
Warning,04/08/2018 16:06:17,Microsoft-Windows-Kernel-PnP,219,(212),The driver \Driver\WudfRd failed to load for the device {5E9A8CDC-14AB-4609-A017-68BCE594AB68}\SurfaceBaseFwUpdate\8&18c2e47d&0&1.
Information,04/08/2018 16:06:17,Microsoft-Windows-DriverFrameworks-UserMode,10118,Startup of the UMDF reflector,"UMDF reflector is unable to connect to service control manager (SCM). This is expected during boot, when SCM has not started yet. Will retry when it starts."
Warning,04/08/2018 16:06:17,Microsoft-Windows-Kernel-PnP,219,(212),The driver \Driver\WudfRd failed to load for the device {4E781CFC-87EE-459B-A319-9B0531EB7485}\SurfaceKeyboardAmbientBacklight\8&18c2e47d&0&0.
Information,04/08/2018 16:06:17,Microsoft-Windows-DriverFrameworks-UserMode,10118,Startup of the UMDF reflector,"UMDF reflector is unable to connect to service control manager (SCM). This is expected during boot, when SCM has not started yet. Will retry when it starts."
Warning,04/08/2018 16:06:15,BTHUSB,34,None,The local adapter does not support an important Low Energy controller state to support peripheral mode. The minimum required supported state mask is 0x491f7fffff; got 0x1fffffff. Low Energy peripheral role functionality will not be available.
Information,04/08/2018 16:06:15,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during start-up.
Warning,04/08/2018 16:06:14,Microsoft-Windows-Kernel-PnP,219,(212),The driver \Driver\WudfRd failed to load for the device {6c8abe47-dac0-4b99-affa-4fff050e3cdc}\SurfaceDigitizerPenPairing\5&141f7bd2&0&0.
Information,04/08/2018 16:06:14,Microsoft-Windows-DriverFrameworks-UserMode,10118,Startup of the UMDF reflector,"UMDF reflector is unable to connect to service control manager (SCM). This is expected during boot, when SCM has not started yet. Will retry when it starts."
Warning,04/08/2018 16:06:13,Microsoft-Windows-Kernel-PnP,219,(212),The driver \Driver\WudfRd failed to load for the device HID\MSHW0030&Col01\5&294f3b18&0&0000.
Information,04/08/2018 16:06:13,Microsoft-Windows-DriverFrameworks-UserMode,10118,Startup of the UMDF reflector,"UMDF reflector is unable to connect to service control manager (SCM). This is expected during boot, when SCM has not started yet. Will retry when it starts."
Information,04/08/2018 16:06:13,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,04/08/2018 16:06:13,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,04/08/2018 16:06:13,Microsoft-Windows-Kernel-General,15,None,Hive \SystemRoot\System32\Config\SOFTWARE was reorganized with a starting size of 112619520 bytes and an ending size of 111022080 bytes.
Information,04/08/2018 16:06:08,MEIx64,2,None,Intel(R) Management Engine Interface driver has started successfully.
Information,04/08/2018 16:06:08,SurfaceStorageFwUpdate,4,None,Storage Firmware install failed.
Information,04/08/2018 16:06:06,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 3 in group 0 exposes the following power management capabilities:

Idle state type: Micro Power Engine Plugin (11 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2808
Maximum performance percentage: 121
Minimum performance percentage: 32
Minimum throttle percentage: 3"
Information,04/08/2018 16:06:06,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 1 in group 0 exposes the following power management capabilities:

Idle state type: Micro Power Engine Plugin (11 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2808
Maximum performance percentage: 121
Minimum performance percentage: 32
Minimum throttle percentage: 3"
Information,04/08/2018 16:06:06,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 2 in group 0 exposes the following power management capabilities:

Idle state type: Micro Power Engine Plugin (11 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2808
Maximum performance percentage: 121
Minimum performance percentage: 28
Minimum throttle percentage: 3"
Information,04/08/2018 16:06:06,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: Micro Power Engine Plugin (11 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2808
Maximum performance percentage: 121
Minimum performance percentage: 14
Minimum throttle percentage: 3"
Information,04/08/2018 16:06:06,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\DEFAULT was cleared updating 359 keys and creating 59 modified pages.
Information,04/08/2018 16:06:06,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\SECURITY was cleared updating 83 keys and creating 5 modified pages.
Information,04/08/2018 16:06:06,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\SAM was cleared updating 72 keys and creating 7 modified pages.
Information,04/08/2018 16:06:06,Microsoft-Windows-Ntfs,98,None,Volume \\?\Volume{e6460861-32f5-4c57-b316-572b84be1b60} (\Device\HarddiskVolume4) is healthy.  No action is needed.
Warning,04/08/2018 16:06:06,Microsoft-Windows-Kernel-PnP,219,(212),The driver \Driver\WudfRd failed to load for the device ACPI\MSHW0041\2&daba3ff&1.
Information,04/08/2018 16:06:06,Microsoft-Windows-DriverFrameworks-UserMode,10118,Startup of the UMDF reflector,"UMDF reflector is unable to connect to service control manager (SCM). This is expected during boot, when SCM has not started yet. Will retry when it starts."
Critical,04/08/2018 16:06:05,Microsoft-Windows-Kernel-Power,41,(63),"The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
Information,04/08/2018 16:06:05,Microsoft-Windows-FilterManager,6,None,"File System Filter 'npsvctrig' (10.0, ‎2094‎-‎02‎-‎20T12:14:30.000000000Z) has successfully loaded and registered with Filter Manager."
Information,04/08/2018 16:06:05,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileCrypt' (10.0, ‎2070‎-‎12‎-‎16T01:13:56.000000000Z) has successfully loaded and registered with Filter Manager."
Information,04/08/2018 16:06:05,Microsoft-Windows-Ntfs,98,None,Volume C: (\Device\HarddiskVolume3) is healthy.  No action is needed.
Information,04/08/2018 16:06:19,EventLog,6013,None,The system uptime is 15 seconds.
